Accession	Description	Pfam.IDs	Entrez.Gene.ID	Gene.Symbol	Chromosome
AAQ89407.1	TXNDC4 [Homo sapiens]	Pf00085, Pf01216, Pf07449, Pf13098, Pf13848	23071	ERP44	9
NP_062543.1	heterogeneous nuclear ribonucleoprotein H2 [Homo sapiens]	Pf00076, Pf08080, Pf14259	3188	HNRNPH2	X
NP_004490.2	heterogeneous nuclear ribonucleoprotein A/B isoform b [Homo sapiens]	Pf00076, Pf08143, Pf13893, Pf14259	3182	HNRNPAB	5
BAG54016.1	unnamed protein product [Homo sapiens]	Pf00129, Pf06623, Pf07654	3106	HLA-B	6
NP_001291217.1	40S ribosomal protein SA isoform 2 [Homo sapiens]	Pf00318	3921	RPSA	3
AAH82258.2	Family with sequence similarity 21, member A [Homo sapiens]	Pf15255	387680	FAM21A; WASHC2A	10
XP_016880484.1	nucleolar transcription factor 1 isoform X1 [Homo sapiens]	Pf00505, Pf09011, Pf14887	7343	UBTF	17
BAA04661.1	prolyl endopeptidase [Homo sapiens]	Pf00326, Pf02897	5550	PREP	6
BAH13341.1	unnamed protein product [Homo sapiens]	Pf01301, Pf02449, Pf13364	2720	GLB1	3
BAG63854.1	unnamed protein product [Homo sapiens]	Pf04124	84342	COG8	16
3WYG_D	Chain D, Crystal Structure Of Xpo1p-pki-gsp1p-gtp Complex				
AAF13156.1	double stranded RNA activated protein kinase [Homo sapiens]	Pf00035, Pf00069, Pf07714	5610	EIF2AK2	2
NP_001339443.1	biotin--protein ligase isoform 2 [Homo sapiens]	Pf02237, Pf03099, Pf09825	3141	HLCS	21
NP_061133.1	peroxisomal membrane protein 2 [Homo sapiens]	Pf04117	5827	PXMP2	12
NP_005889.3	caprin-1 isoform 1 [Homo sapiens]	Pf12287	4076	CAPRIN1	11
NP_001335058.1	negative regulator of P-body association [Homo sapiens]		550643	LOC550643; LINC01420; NBDY	X
BAD92402.1	ribosomal protein S10 variant, partial [Homo sapiens]	Pf03501	6204	RPS10	6
XP_016864075.1	wolframin isoform X1 [Homo sapiens]		7466	WFS1	4
O75396.4	RecName: Full=Vesicle-trafficking protein SEC22b; AltName: Full=ER-Golgi SNARE of 24 kDa; Short=ERS-24; Short=ERS24; AltName: Full=SEC22 vesicle-trafficking protein homolog B; AltName: Full=SEC22 vesicle-trafficking protein-like 1	Pf00957, Pf13774	9554	SEC22B	1
AAB64109.1	BCSG1 protein [Homo sapiens]	Pf01387	6623	SNCG	10
BAG63985.1	unnamed protein product [Homo sapiens]	Pf03810	51194	IPO11	5
XP_024304469.1	cysteine--tRNA ligase, cytoplasmic isoform X1 [Homo sapiens]				
NP_001135888.1	aminoacyl tRNA synthase complex-interacting multifunctional protein 1 isoform b precursor [Homo sapiens]	Pf01588	9255	AIMP1	4
XP_005273419.1	acyl-CoA:lysophosphatidylglycerol acyltransferase 1 isoform X1 [Homo sapiens]	Pf01553	9926	LPGAT1	1
AAB62222.1	ZRP-1 [Homo sapiens]	Pf00412	7205	TRIP6	7
EAW55991.1	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila), isoform CRA_b [Homo sapiens]	Pf00640	1601	DAB2	5
EAW67508.1	Rho guanine nucleotide exchange factor (GEF) 12, isoform CRA_a [Homo sapiens]	Pf00595, Pf00621, Pf09128, Pf13180	23365	ARHGEF12	11
XP_016862847.1	calcium-dependent secretion activator 1 isoform X1 [Homo sapiens]	Pf00169, Pf06292	8618	CADPS	3
EAW61102.1	hCG18290 [Homo sapiens]	Pf01655	644907	RPL32P18	7
NP_065825.1	E3 ubiquitin-protein ligase MIB1 [Homo sapiens]	Pf00023, Pf00569, Pf06701, Pf12796, Pf13606, Pf13637, Pf13857, Pf13920, Pf13923, Pf14634	57534	MIB1	18
NP_115679.2	hydroxysteroid dehydrogenase-like protein 2 isoform 1 [Homo sapiens]	Pf00106, Pf02036, Pf13561, Pf14864	84263	HSDL2	9
EAW50744.1	histone deacetylase 6, isoform CRA_a [Homo sapiens]	Pf00850, Pf02148, Pf09595	10013	HDAC6	X
BAF84928.1	unnamed protein product [Homo sapiens]	Pf04112	60560	NAA35	9
Q58FF6.1	PUTATIVE PSEUDOGENE: RecName: Full=Putative heat shock protein HSP 90-beta 4	Pf00183, Pf02518, Pf13589	664618	HSP90AB4P	15
XP_005254703.1	tropomyosin alpha-1 chain isoform X12 [Homo sapiens]	Pf00261, Pf12718	7168	TPM1	15
AAH05940.1	Guanine nucleotide binding protein (G protein), gamma 12 [Homo sapiens]	Pf00631	55970	GNG12	1
BAD92548.1	nebulette non-muscle isoform variant, partial [Homo sapiens]	Pf00018, Pf00412, Pf00880, Pf07653, Pf14604	10529	NEBL	10
NP_219485.1	HAUS augmin-like complex subunit 8 isoform a [Homo sapiens]		93323	HAUS8	19
BAG64064.1	unnamed protein product [Homo sapiens]	Pf02020, Pf02847, Pf02854	1982	EIF4G2	11
XP_024307330.1	coiled-coil and C2 domain-containing protein 1A isoform X1 [Homo sapiens]				
NP_005372.2	nucleolin [Homo sapiens]	Pf00076, Pf13893, Pf14259	4691	NCL	2
AAI01523.1	Leucine rich repeat containing 41 [Homo sapiens]		10489	LRRC41	1
AAC32612.1	ATPase homolog [Homo sapiens]	Pf00004, Pf00006, Pf00910, Pf01057, Pf01078, Pf05496, Pf07724, Pf07726, Pf07728, Pf13191	5704	PSMC4	19
AAH21983.1	Nucleophosmin (nucleolar phosphoprotein B23, numatrin) [Homo sapiens]	Pf03066	4869	NPM1	5
NP_002744.1	mitogen-activated protein kinase 10 isoform 2 [Homo sapiens]	Pf00069, Pf01636, Pf07714, Pf14531	5602	MAPK10	4
NP_112182.1	acidic leucine-rich nuclear phosphoprotein 32 family member E isoform 1 [Homo sapiens]	Pf12799, Pf13855, Pf14580	81611	ANP32E	1
AAI07895.1	NME1-NME2 protein [Homo sapiens]	Pf00334	654364	NME1-NME2	17
XP_005253211.1	myotubularin-related protein 13 isoform X1 [Homo sapiens]	Pf00169, Pf02141, Pf03455, Pf03456, Pf06602, Pf12335, Pf14593, Pf15413	81846	SBF2	11
EAX04961.1	tripartite motif-containing 2, isoform CRA_b, partial [Homo sapiens]	Pf00097, Pf00630, Pf00643, Pf01436, Pf08450, Pf10174, Pf13445, Pf13639, Pf13920, Pf13923, Pf14634, Pf15227	23321	TRIM2	4
AAH20107.1	Nucleoporin 133kDa [Homo sapiens]	Pf03177, Pf08801	55746	NUP133	1
NP_000138.2	tissue alpha-L-fucosidase precursor [Homo sapiens]	Pf01120	2517	FUCA1	1
NP_006311.3	membrane-associated progesterone receptor component 2 [Homo sapiens]				
EAW92285.1	chromosome 15 open reading frame 24, isoform CRA_b [Homo sapiens]	Pf09430	56851	EMC7	15
NP_665906.1	high mobility group protein HMG-I/HMG-Y isoform a [Homo sapiens]		3159	HMGA1	6
AAB36516.1	Bcl-2 binding component 6 [Homo sapiens]	Pf10514	572	BAD	11
BAH12934.1	unnamed protein product [Homo sapiens]	Pf01609	144195	SLC2A14	12
CAA41990.1	valyl-tRNA synthetase [Homo sapiens]	Pf00043, Pf00133, Pf08264, Pf09334, Pf13603	7407	VARS	6
NP_004528.1	nucleosome assembly protein 1-like 1 isoform 1 [Homo sapiens]	Pf00956	4673	NAP1L1	12
2C4J_A	Chain A, Human Glutathione-S-Transferase M2-2 T210s Mutant In Complex With Glutathione-Styrene Oxide Conjugate				
AAB84031.1	Kunitz-type protease inhibitor [Homo sapiens]	Pf00014	10653	SPINT2	19
5UKM_B	Chain B, Bovine Grk2 In Complex With Human Gbetagamma Subunits And Ccg258208 (14as)				
EAX10286.1	small nuclear ribonucleoprotein polypeptide B'', isoform CRA_b [Homo sapiens]	Pf00076, Pf13893, Pf14259	6629	SNRPB2	20
NP_001269374.1	EH domain-containing protein 1 isoform 2 [Homo sapiens]	Pf00350, Pf01926, Pf12763	10938	EHD1	11
AAB99852.1	sorting nexin 2 [Homo sapiens]	Pf00787, Pf03700, Pf05667, Pf09325, Pf10456	6643	SNX2	5
NP_778235.1	histone H2A type 2-B [Homo sapiens]	Pf00125, Pf00808	317772	HIST2H2AB	1
BAG63364.1	unnamed protein product [Homo sapiens]	Pf04424	55793	FAM63A; MINDY1	1
EAW71838.1	myosin, heavy polypeptide 14, isoform CRA_a [Homo sapiens]	Pf00063, Pf01576	79784	MYH14	19
NP_068751.4	synembryn-A isoform 1 [Homo sapiens]	Pf10165	60626	RIC8A	11
AAG01181.1	rhotekin, partial [Homo sapiens]	Pf00169, Pf02185, Pf08174	6242	RTKN	2
NP_116120.1	thioredoxin domain-containing protein 17 [Homo sapiens]	Pf06110, Pf13098	84817	TXNDC17	17
EAW93902.1	Tax1 (human T-cell leukemia virus type I) binding protein 1, isoform CRA_b [Homo sapiens]	Pf01576, Pf02463, Pf04156, Pf05483, Pf05557, Pf05622, Pf05911, Pf06160, Pf07888, Pf09304, Pf09726, Pf10174, Pf11559, Pf12128, Pf12718, Pf13166, Pf13851, Pf13870	8887	TAX1BP1	7
EAW61235.1	proteasome (prosome, macropain) 26S subunit, non-ATPase, 13, isoform CRA_b [Homo sapiens]	Pf01399	5719	PSMD13	11
NP_004879.1	V-type proton ATPase subunit G 1 [Homo sapiens]	Pf03179	9550	ATP6V1G1	9
XP_011533950.1	PHD finger protein 3 isoform X1 [Homo sapiens]	Pf00628, Pf07500, Pf07744	23469	PHF3	6
4LDR_A	Chain A, Structure of the S283Y mutant of MRDI				
NP_001348.2	ATP-dependent RNA helicase A [Homo sapiens]	Pf00035, Pf00270, Pf00271, Pf04408, Pf07717	1660	DHX9	1
NP_001317093.1	heat shock 70 kDa protein 12A isoform 1 [Homo sapiens]	Pf00012	259217	HSPA12A	10
XP_024305999.1	trinucleotide repeat-containing gene 6A protein isoform X1 [Homo sapiens]				
EAW96898.1	myosin, light polypeptide 6B, alkali, smooth muscle and non-muscle, isoform CRA_c [Homo sapiens]	Pf13405, Pf13499	140465	MYL6B	12
AAI11395.1	PIN4 protein, partial [Homo sapiens]	Pf00639, Pf13145, Pf13616	5303	PIN4	X
AAH36242.1	Copine III [Homo sapiens]	Pf00168, Pf07002, Pf10138	8895	CPNE3	8
XP_011528592.1	ran-specific GTPase-activating protein isoform X4 [Homo sapiens]	Pf00638	5902	RANBP1	22
NP_055761.2	spastin isoform 1 [Homo sapiens]	Pf00004, Pf00437, Pf01078, Pf04212, Pf05496, Pf06068, Pf07724, Pf07728, Pf13401	6683	SPAST	2
ADD00773.1	ataxin 3 variant ref, partial [Homo sapiens]	Pf02099	4287	ATXN3	14
NP_006741.1	beta-2-syntrophin [Homo sapiens]	Pf00169, Pf00595, Pf13180	6645	SNTB2	16
XP_005248777.1	unconventional myosin-VI isoform X2 [Homo sapiens]	Pf00063	4646	MYO6	6
NP_787050.6	PAN2-PAN3 deadenylation complex subunit PAN3 [Homo sapiens]	Pf00069, Pf00642, Pf05109	255967	PAN3	13
P62263	40S ribosomal protein S14 OS=Homo sapiens OX=9606 GN=RPS14 PE=1 SV=3	Pf00411	6208	RPS14	5
AAD38427.1	brefeldin A-inhibited guanine nucleotide-exchange protein 1 [Homo sapiens]	Pf01369, Pf09324, Pf12783	10565	ARFGEF1	8
NP_062535.2	YLP motif-containing protein 1 [Homo sapiens]	Pf13207, Pf13671	56252	YLPM1	14
BAD92458.1	hypothetical protein FLJ41407 variant, partial [Homo sapiens]	Pf00400, Pf08953, Pf08954, Pf13094, Pf13863	11151	CORO1A	16
4JR5_A	Chain A, Structure-based Identification Of Ureas As Novel Nicotinamide Phosphoribosyltransferase (nampt) Inhibitors				
EAW64325.1	ubiquitin-conjugating enzyme E2E 2 (UBC4/5 homolog, yeast), isoform CRA_d [Homo sapiens]	Pf00179, Pf14461	7325	UBE2E2	3
ACX50615.1	prostate cancer upregulated protein 1 [Homo sapiens]	Pf11069	56683	C21orf59	21
AAA51913.1	preprocalcitonin [Homo sapiens]	Pf00214	796	CALCA	11
5UYZ_A	Chain A, Structure Of Human T-complex Protein 1 Subunit Epsilon (cct5) Mutant His147arg				
XP_016856919.1	ubiquitin carboxyl-terminal hydrolase isozyme L5 isoform X2 [Homo sapiens]	Pf01088	51377	UCHL5	1
AAB86589.1	meningioma-expressed antigen 11, partial [Homo sapiens]	Pf04111, Pf04156, Pf05010, Pf06160, Pf06409, Pf07926, Pf09726, Pf12128, Pf12718, Pf13863	4253	CTAGE5; MIA2	14
BAG62619.1	unnamed protein product [Homo sapiens]	Pf00728, Pf14845	3073	HEXA	15
EAX07316.1	chromosome 1 open reading frame 122, isoform CRA_d, partial [Homo sapiens]				
1QGK_A	Chain A, Structure Of Importin Beta Bound To The Ibb Domain Of Importin Alpha				
XP_011525369.1	paraneoplastic antigen-like protein 8A isoform X1 [Homo sapiens]	Pf14893	55228	PNMAL1; PNMA8A	19
XP_024308136.1	cytochrome c-type heme lyase isoform X1 [Homo sapiens]				
XP_005269750.1	myoferlin isoform X1 [Homo sapiens]	Pf00168, Pf08150, Pf08151, Pf08165	26509	MYOF	10
4X44_A	Chain A, Crystal Structure Of Mutant R89q Of Human Adenine Phosphoribosyltransferase				
AEG20815.1	synuclein alpha-140, partial [Homo sapiens]	Pf01387	6622	SNCA	4
NP_036243.1	activator of 90 kDa heat shock protein ATPase homolog 1 isoform 1 [Homo sapiens]	Pf08327, Pf09229	10598	AHSA1	14
NP_115825.1	coiled-coil and C2 domain-containing protein 1B isoform 1 [Homo sapiens]	Pf00168	200014	CC2D1B	1
NP_001316055.1	dnaJ homolog subfamily C member 13 isoform 1 [Homo sapiens]	Pf00226, Pf14237	23317	DNAJC13	3
EAW49372.1	SEC23 interacting protein, isoform CRA_b [Homo sapiens]	Pf00536, Pf02862, Pf07647	11196	SEC23IP	10
EAW57397.1	neuro-oncological ventral antigen 2 [Homo sapiens]	Pf00013, Pf13014	4858	NOVA2	19
AAK17926.1	tropomyosin 4-anaplastic lymphoma kinase fusion protein, partial [Homo sapiens]	Pf00261, Pf07714, Pf12718			
3E46_A	Chain A, Crystal Structure Of Ubiquitin-Conjugating Enzyme E2-25kda (Huntington Interacting Protein 2) M172a Mutant				
XP_016872371.1	calcium uniporter protein, mitochondrial isoform X1 [Homo sapiens]	Pf04678	90550	MCU	10
AAF64142.1	NPD008 protein [Homo sapiens]	Pf05832	51030	FAM18B1; TVP23B	17
CAA53059.1	unnamed protein product [Homo sapiens]	Pf00288, Pf00695			
XP_005251033.1	plectin isoform X3 [Homo sapiens]	Pf00307, Pf00681, Pf03501, Pf07812	5339	PLEC	8
SPT35679.1	ARHGAP5, partial [Homo sapiens]				
AAI44510.1	RICTOR protein [Homo sapiens]	Pf14663, Pf14664, Pf14665, Pf14666, Pf14668	253260	RICTOR	5
EAW80238.1	chromosome 17 open reading frame 75 [Homo sapiens]	Pf15053	64149	C17orf75	17
AAA85135.1	desmoplakin I [Homo sapiens]	Pf00038, Pf00681, Pf01540, Pf01576, Pf02463, Pf04111, Pf04156, Pf05483, Pf05557, Pf05622, Pf06008, Pf06160, Pf06637, Pf07888, Pf10174, Pf12072, Pf12128, Pf13166	1832	DSP	6
BAB85014.1	unnamed protein product [Homo sapiens]	Pf00326, Pf01738, Pf12695	134147	CMBL	5
BAG64897.1	unnamed protein product [Homo sapiens]	Pf05461	23780	APOL2	22
AAC05812.1	Gene product with similarity to Ubiquitin binding enzyme [Homo sapiens]	Pf00240, Pf14560	56061	UBFD1	16
5FN2_B	Chain B, Cryo-em Structure Of Gamma Secretase In Complex With A Drug Dapt				
4EC8_A	Chain A, Structure Of Full Length Cdk9 In Complex With Cyclint And Drb				
XP_006716248.1	protein disulfide-isomerase A4 isoform X1 [Homo sapiens]	Pf00085, Pf01216, Pf13098, Pf13848, Pf13905	9601	PDIA4	7
XP_005264167.1	MICOS complex subunit MIC60 isoform X2 [Homo sapiens]	Pf09731	10989	IMMT	2
BAD92761.1	protein tyrosine phosphatase, non-receptor type 12 variant, partial [Homo sapiens]	Pf00102, Pf04560	5782	PTPN12	7
NP_001307539.1	MICOS complex subunit MIC25 isoform 1 [Homo sapiens]	Pf05300	84303	CHCHD6	3
NP_001186793.1	BCL2L2-PABPN1 protein [Homo sapiens]	Pf00076, Pf00452, Pf02180, Pf13893, Pf14259	100529063	BCL2L2-PABPN1	14
NP_079106.3	lysophosphatidylcholine acyltransferase 1 [Homo sapiens]	Pf01553, Pf13833	79888	LPCAT1	5
BAF83456.1	unnamed protein product [Homo sapiens]	Pf00118	10576	CCT2	12
